Temperatur,Kelembaban,Wind speed,Ketinggian air,Kondisi
22.0,82.0,67.0,29.0,0.0
27.0,88.0,65.0,25.0,0.0
28.0,87.0,78.0,23.0,0.0
34.0,48.0,88.0,47.0,2.0
33.0,43.0,59.0,46.0,3.0
27.0,97.0,73.0,24.0,0.0
24.0,81.0,95.0,29.0,0.0
36.0,29.0,71.0,54.0,3.0
29.0,94.0,44.0,28.0,0.0
26.0,84.0,50.0,28.0,0.0
34.0,44.0,51.0,45.0,2.0
20.0,97.0,82.0,29.0,0.0
32.0,62.0,82.0,36.0,1.0
31.0,64.0,51.0,33.0,1.0
35.0,46.0,71.0,43.0,2.0
34.0,54.0,24.0,48.0,2.0
37.0,30.0,55.0,57.0,3.0
29.0,82.0,68.0,24.0,0.0
36.0,24.0,65.0,64.0,3.0
36.0,35.0,37.0,54.0,3.0
29.0,88.0,57.0,29.0,0.0
31.0,78.0,97.0,38.0,1.0
32.0,79.0,87.0,34.0,1.0
33.0,69.0,44.0,35.0,1.0
23.0,97.0,57.0,27.0,0.0
20.0,92.0,71.0,25.0,0.0
34.0,54.0,32.0,45.0,2.0
26.0,85.0,27.0,26.0,0.0
26.0,90.0,55.0,24.0,0.0
32.0,76.0,63.0,37.0,1.0
34.0,55.0,80.0,42.0,2.0
34.0,42.0,91.0,46.0,2.0
35.0,50.0,66.0,45.0,2.0
27.0,88.0,56.0,27.0,0.0
28.0,88.0,56.0,24.0,0.0
31.0,78.0,62.0,33.0,1.0
32.0,72.0,53.0,38.0,1.0
31.0,69.0,92.0,37.0,1.0
36.0,33.0,22.0,53.0,3.0
27.0,85.0,38.0,23.0,0.0
29.0,87.0,20.0,26.0,0.0
33.0,71.0,58.0,36.0,1.0
32.0,70.0,43.0,36.0,1.0
36.0,34.0,19.0,57.0,3.0
38.0,35.0,45.0,56.0,3.0
27.0,82.0,75.0,29.0,0.0
23.0,90.0,37.0,27.0,0.0
31.0,68.0,84.0,39.0,1.0
32.0,66.0,34.0,35.0,1.0
27.0,87.0,87.0,24.0,0.0
31.0,68.0,58.0,35.0,1.0
28.0,82.0,29.0,27.0,0.0
32.0,62.0,40.0,31.0,1.0
21.0,84.0,85.0,23.0,0.0
34.0,44.0,37.0,43.0,2.0
38.0,28.0,58.0,56.0,3.0
39.0,29.0,7.0,55.0,3.0
31.0,61.0,24.0,37.0,1.0
22.0,85.0,34.0,26.0,0.0
32.0,62.0,63.0,38.0,1.0
27.0,81.0,41.0,29.0,0.0
34.0,51.0,54.0,45.0,2.0
30.0,85.0,27.0,27.0,0.0
38.0,33.0,32.0,58.0,3.0
29.0,90.0,54.0,27.0,0.0
38.0,39.0,25.0,55.0,3.0
26.0,81.0,13.0,27.0,0.0
32.0,65.0,78.0,37.0,1.0
27.0,88.0,36.0,29.0,0.0
27.0,90.0,24.0,20.0,0.0
36.0,38.0,3.0,52.0,3.0
35.0,21.0,56.0,53.0,3.0
36.0,34.0,53.0,58.0,3.0
37.0,33.0,31.0,58.0,3.0
31.0,70.0,28.0,35.0,1.0
36.0,22.0,56.0,55.0,3.0
25.0,86.0,27.0,27.0,0.0
33.0,76.0,60.0,38.0,1.0
27.0,93.0,59.0,29.0,0.0
38.0,22.0,52.0,56.0,3.0
21.0,94.0,40.0,24.0,0.0
32.0,63.0,55.0,36.0,1.0
20.0,81.0,37.0,22.0,0.0
37.0,30.0,7.0,59.0,3.0
20.0,94.0,82.0,26.0,0.0
39.0,39.0,38.0,56.0,3.0
37.0,28.0,47.0,53.0,3.0
34.0,56.0,60.0,43.0,2.0
33.0,61.0,60.0,34.0,1.0
31.0,69.0,48.0,35.0,1.0
26.0,86.0,82.0,26.0,0.0
33.0,67.0,58.0,31.0,1.0
35.0,59.0,55.0,43.0,2.0
29.0,82.0,58.0,27.0,0.0
22.0,83.0,39.0,27.0,0.0
37.0,33.0,43.0,63.0,3.0
35.0,51.0,54.0,33.0,2.0
34.0,55.0,13.0,43.0,2.0
35.0,57.0,61.0,44.0,2.0
28.0,81.0,40.0,27.0,0.0
33.0,69.0,63.0,33.0,1.0
37.0,36.0,44.0,56.0,3.0
37.0,25.0,58.0,67.0,3.0
35.0,51.0,24.0,47.0,2.0
33.0,64.0,25.0,36.0,1.0
25.0,89.0,33.0,25.0,0.0
27.0,84.0,54.0,27.0,0.0
27.0,87.0,78.0,21.0,0.0
36.0,34.0,46.0,55.0,3.0
33.0,61.0,78.0,35.0,1.0
28.0,90.0,74.0,27.0,0.0
23.0,83.0,99.0,20.0,0.0
22.0,94.0,77.0,28.0,0.0
29.0,84.0,67.0,22.0,0.0
34.0,55.0,38.0,46.0,2.0
20.0,84.0,79.0,26.0,0.0
31.0,61.0,54.0,37.0,3.0
33.0,76.0,57.0,37.0,1.0
31.0,70.0,45.0,35.0,1.0
22.0,84.0,77.0,24.0,0.0
32.0,64.0,77.0,36.0,1.0
36.0,36.0,57.0,56.0,3.0
20.0,82.0,26.0,25.0,0.0
23.0,80.0,61.0,28.0,0.0
31.0,70.0,58.0,39.0,1.0
28.0,84.0,41.0,29.0,0.0
33.0,64.0,37.0,36.0,1.0
31.0,77.0,52.0,31.0,1.0
20.0,89.0,93.0,29.0,0.0
34.0,45.0,43.0,49.0,2.0
33.0,67.0,81.0,37.0,1.0
38.0,31.0,96.0,62.0,3.0
35.0,44.0,26.0,41.0,2.0
29.0,84.0,46.0,22.0,0.0
20.0,93.0,48.0,28.0,0.0
32.0,68.0,54.0,36.0,1.0
34.0,43.0,39.0,51.0,2.0
37.0,40.0,75.0,53.0,3.0
34.0,45.0,39.0,47.0,2.0
22.0,97.0,47.0,26.0,0.0
25.0,81.0,68.0,28.0,0.0
34.0,55.0,49.0,48.0,2.0
39.0,25.0,46.0,68.0,3.0
39.0,31.0,51.0,57.0,3.0
37.0,34.0,67.0,60.0,3.0
37.0,22.0,43.0,63.0,3.0
38.0,33.0,24.0,63.0,3.0
30.0,99.0,71.0,25.0,0.0
34.0,51.0,32.0,47.0,2.0
33.0,78.0,62.0,31.0,1.0
32.0,70.0,86.0,30.0,1.0
39.0,32.0,65.0,53.0,3.0
34.0,43.0,49.0,41.0,2.0
32.0,67.0,29.0,35.0,1.0
23.0,95.0,66.0,21.0,0.0
33.0,67.0,20.0,36.0,1.0
21.0,96.0,66.0,24.0,0.0
25.0,86.0,85.0,23.0,0.0
26.0,89.0,94.0,25.0,0.0
35.0,46.0,35.0,43.0,2.0
27.0,92.0,65.0,26.0,0.0
25.0,89.0,57.0,28.0,0.0
25.0,84.0,55.0,29.0,0.0
37.0,38.0,43.0,63.0,3.0
32.0,64.0,52.0,35.0,1.0
31.0,70.0,95.0,35.0,1.0
32.0,78.0,55.0,37.0,1.0
32.0,78.0,89.0,33.0,1.0
33.0,62.0,29.0,33.0,1.0
37.0,22.0,51.0,70.0,3.0
32.0,67.0,47.0,39.0,1.0
20.0,87.0,47.0,20.0,0.0
34.0,51.0,20.0,49.0,2.0
37.0,32.0,51.0,60.0,3.0
38.0,24.0,49.0,61.0,3.0
23.0,93.0,58.0,29.0,0.0
37.0,31.0,23.0,55.0,3.0
26.0,88.0,60.0,29.0,0.0
32.0,78.0,56.0,35.0,1.0
31.0,70.0,95.0,35.0,1.0
34.0,55.0,46.0,45.0,2.0
36.0,29.0,60.0,66.0,3.0
26.0,93.0,65.0,24.0,0.0
36.0,29.0,62.0,51.0,3.0
26.0,89.0,44.0,29.0,0.0
38.0,34.0,13.0,55.0,3.0
32.0,68.0,22.0,33.0,1.0
29.0,86.0,57.0,27.0,0.0
20.0,89.0,25.0,26.0,0.0
36.0,33.0,57.0,69.0,3.0
22.0,80.0,99.0,27.0,0.0
32.0,72.0,32.0,39.0,1.0
36.0,29.0,93.0,58.0,3.0
39.0,38.0,14.0,59.0,3.0
35.0,38.0,85.0,52.0,3.0
30.0,84.0,52.0,28.0,0.0
24.0,82.0,25.0,29.0,0.0
34.0,54.0,60.0,41.0,2.0
34.0,58.0,53.0,49.0,2.0
23.0,84.0,68.0,29.0,0.0
26.0,84.0,89.0,25.0,0.0
32.0,73.0,24.0,31.0,1.0
35.0,50.0,57.0,45.0,2.0
27.0,80.0,63.0,20.0,0.0
34.0,50.0,32.0,44.0,2.0
33.0,65.0,48.0,35.0,1.0
35.0,52.0,67.0,44.0,2.0
38.0,25.0,26.0,56.0,3.0
24.0,89.0,77.0,22.0,0.0
32.0,68.0,25.0,44.0,1.0
25.0,85.0,60.0,21.0,0.0
22.0,97.0,22.0,28.0,0.0
32.0,79.0,54.0,31.0,1.0
32.0,65.0,74.0,38.0,1.0
27.0,85.0,39.0,28.0,0.0
27.0,94.0,75.0,27.0,0.0
31.0,66.0,49.0,34.0,1.0
32.0,64.0,49.0,35.0,1.0
28.0,83.0,99.0,24.0,0.0
26.0,93.0,71.0,28.0,0.0
36.0,28.0,53.0,64.0,3.0
37.0,34.0,66.0,56.0,3.0
22.0,88.0,27.0,25.0,0.0
36.0,25.0,48.0,51.0,3.0
34.0,47.0,25.0,43.0,2.0
35.0,49.0,71.0,47.0,2.0
34.0,47.0,45.0,48.0,2.0
31.0,70.0,59.0,31.0,1.0
35.0,44.0,34.0,43.0,2.0
35.0,52.0,33.0,44.0,2.0
20.0,83.0,97.0,23.0,0.0
37.0,28.0,42.0,57.0,3.0
31.0,79.0,52.0,35.0,1.0
34.0,51.0,61.0,47.0,2.0
33.0,62.0,51.0,37.0,1.0
36.0,27.0,43.0,55.0,3.0
34.0,45.0,28.0,48.0,2.0
27.0,80.0,44.0,22.0,0.0
26.0,92.0,48.0,27.0,0.0
34.0,43.0,32.0,46.0,2.0
35.0,58.0,50.0,41.0,2.0
23.0,81.0,51.0,29.0,0.0
32.581886876034865,66.10400244597513,34.08465199882527,38.935623641856054,1.0
35.854364140523344,24.92775043098544,72.79128091332086,49.60824771079852,3.0
35.24180203971591,35.6696540338375,75.96519957925332,52.0171749372529,3.0
34.15396220406654,34.709055619470774,31.72188737960103,56.401406851016816,3.0
38.93511286535067,31.454695098065777,36.568491369203365,59.74502471157398,3.0
37.49378213095775,28.636929307416956,71.9304609077384,49.03499300011638,3.0
32.79268313530579,47.69229918040264,28.314542304108375,45.30854847977368,2.0
27.025179899604822,89.73775445199963,23.142980542408473,23.380742527327495,0.0
26.00780687439355,83.7789684848398,54.012623306234744,23.273250830264523,0.0
33.66502623314366,22.25149831042919,68.8891415750295,46.61147005589081,2.0
37.215545768641476,28.016304927783008,64.25185337564164,49.37555896429544,3.0
31.751841062651785,59.50885976272783,72.82943836502386,40.75600784182922,1.0
33.552896595672955,54.54885953013472,59.005906258472265,48.33798423876666,2.0
33.405404713686394,42.74349208798194,84.03561549960303,54.70038486828436,3.0
31.719965038185318,60.1794049879133,49.97039247891574,39.075664556312915,1.0
20.0,96.95832650026759,82.93708234809112,24.50545217159474,0.0
22.381307122887844,81.82985649226755,29.547353188212746,30.49558868563431,0.0
30.176378933374053,60.857773962669484,72.50265593264804,33.79076233070167,1.0
28.325435683032342,86.13984398434009,51.63106550732507,31.37440217948879,0.0
32.763044630268524,56.24149912774197,77.0470604524811,38.99473714573513,1.0
23.5277044563969,85.16633273794737,71.35909123543149,30.83885457505025,0.0
32.297271227761534,50.864206018296386,60.78935690171267,36.107882437718615,2.0
22.893989732077895,83.19654004185531,55.60569287663239,31.92370057374648,0.0
34.2881187925178,22.34262438904836,54.63216992755167,54.04830380121802,3.0
24.184274743866656,87.40081207902229,90.0175262383339,20.094555844671447,0.0
34.825626952266916,56.44654038368396,63.38577745416503,42.319279098936285,2.0
32.07847507124248,64.87959742166935,32.652881465770385,26.097198880683308,1.0
34.920161407303894,65.26176885588943,23.346682365557555,38.78108862437988,1.0
31.86061331422642,75.64330789274214,59.23447323042111,32.85223220748832,1.0
39.56416228294527,26.76693921917903,61.3968700311669,51.26397212387765,3.0
34.21406549577278,49.915906968132546,44.75093190398012,42.34518801297081,2.0
33.20245924464575,62.72035845995835,62.502002648611914,51.95439757986193,2.0
31.34886058470977,76.63473323544832,68.07474693393988,38.43213944942346,1.0
33.455157826041216,72.64286708566458,17.388627020931455,32.02198212100058,1.0
31.885191640696014,75.86052987184202,91.00305971971012,33.03914597321393,1.0
30.451472131478027,71.73198923056647,30.55101247878971,29.83226122874906,1.0
37.734335999201,28.559744288232793,40.158027725783704,56.0246661855991,3.0
34.366572217878044,57.48130007633863,60.32843890668275,40.34297980025959,2.0
29.959562378378305,69.1405839299741,62.99245825260324,27.7295081378271,1.0
24.89016253327241,84.35964234964908,42.42444026436569,24.036446104128064,0.0
32.65030536980518,57.11857361850621,78.12827976918386,31.19170582267054,1.0
36.70668403441621,34.3061381444162,32.75813115313638,52.56296113343889,3.0
33.86232755135034,42.77128934877042,61.512131215804246,40.83447215217125,2.0
37.92634168040626,34.84182027663127,48.88510646214645,67.41222099181142,3.0
20.0,95.5889533215633,69.11208572190256,25.25425520311272,0.0
35.88567823420907,67.37946587872574,1.2720026124859132,32.49481116686166,1.0
36.4536383113735,29.25668202999154,33.38619417809063,60.68770355433062,3.0
29.684212504750484,73.14099432770877,50.38176993616738,39.15463144509778,1.0
33.053448699871794,39.36295270586416,62.168566325725294,48.381086678553416,3.0
33.58119535037454,49.22165236886092,73.75122927384771,47.32805555163941,2.0
31.381339267541158,75.79425111076428,82.30309252753432,31.890220604497138,1.0
24.402033994915584,88.04279040687891,41.432622855119426,28.173890488576646,0.0
30.07802045021447,78.14598995378823,64.71806059994442,26.237312438996785,0.0
35.02475079791685,31.246690963524234,48.98499538018672,56.6817940454811,3.0
35.054214810905876,66.37544737186334,7.199392751270544,36.07685125958244,1.0
35.64819902801794,49.149591338253316,76.14475031726717,45.87438881961522,2.0
33.24077408816704,68.40725822967894,55.634778359335655,35.853185221052506,1.0
29.157211092965355,65.14262487028913,51.486209427576455,37.96482169365947,1.0
30.138811788834538,75.00238567532097,90.78674324898599,42.725930125451015,1.0
31.118911899176158,69.45913092036196,49.55980402186246,38.127116120760846,1.0
24.313194899204365,15.83418564370987,96.98814700193506,45.14116997624471,2.0
35.088120635510435,34.465120984557885,27.762250143387707,53.850813113181644,3.0
29.94591075834537,65.4907521711556,82.91088437059604,34.074088638225234,1.0
29.863057081902177,58.46679779537118,58.66871763645891,41.2664645537229,3.0
30.864429628497632,70.2084359031504,69.33541166375605,31.048887036871168,1.0
30.019730405668277,70.94569215289079,56.14134535626239,35.77333224908188,1.0
36.5896067500154,29.19404961592066,11.98505336434556,62.78813264607585,3.0
29.186630609591333,90.3745008477368,13.915336516325752,24.758935739114612,0.0
31.41237352508719,60.96423651466108,38.077127006408375,27.92804646480115,1.0
32.78384989098831,59.273539952033,29.11284162147872,34.705233872795795,1.0
37.860669922451166,22.99906597118558,30.15244590191355,51.811927684252815,3.0
35.429984374923784,35.285192841565745,16.432574357655035,44.42600940883411,2.0
25.7504135060583,92.78973270245679,62.45592835216861,28.524403260332917,0.0
34.782414635042215,55.17303738331531,15.993086632327637,53.66687290569794,2.0
34.95187314964502,45.01615217053349,19.80769523592834,42.390039221742214,2.0
38.28579429233889,35.7061402642201,32.93846927084012,59.0346354278509,3.0
31.582827876539888,67.20014432269492,77.23951264970395,34.61683040817206,1.0
36.802601967301875,39.244214729675164,33.25315702717065,41.45123014828159,2.0
21.88805784987766,93.4572927217569,87.76954190456331,31.010996342012184,0.0
34.2294189648061,22.17862658041056,46.71804583038386,61.144265890186624,3.0
35.92402862303389,48.21421877362758,47.471645178757385,41.38770382401363,2.0
30.970214530832944,66.91922457959257,57.80090444757964,35.84934959802228,1.0
29.14732741804315,85.42742374150384,31.034556163924318,27.959239923239494,0.0
35.91086419903434,43.99281772900159,42.94323251617951,54.758526352847575,2.0
35.09016898395079,48.00561655588188,54.35676951727861,46.60785432875678,2.0
37.45732683125464,28.613399615685594,48.28065394918164,62.640862814274264,3.0
38.88626766467656,32.30932354765856,6.94666076754544,53.194298761216835,3.0
21.055110559947025,80.18120619121281,90.18014693752241,21.765466183026412,0.0
32.99992495539149,61.56573070350139,71.65416870500445,32.88216805967956,1.0
29.324819228758024,86.15108536596004,11.854516938070317,23.861465662702468,0.0
34.499739029457935,40.98440269078724,30.894289869291935,40.023767602191555,2.0
35.33708445091049,47.548386778705364,47.066860803041294,33.615858924709535,2.0
34.16350328817693,69.74927024618967,17.25055580286576,38.23130881074183,1.0
32.390764923587014,54.51540622216524,55.56869241814826,48.08683852639045,2.0
34.95648277220467,35.09400952982999,61.51720989043551,70.0,3.0
32.871528802976314,80.3622854554966,93.13219611296053,40.320275839735984,1.0
30.390869133057883,79.1905021832572,75.74070853004113,20.0,0.0
37.20254571275254,25.23416165519363,49.37037520516664,64.26329028267722,3.0
26.12550289014863,82.678037095337,90.8834980032595,24.02719862564513,0.0
35.9615282446456,21.465694983391813,49.59341900395507,47.762205506784554,3.0
34.02620510219883,41.90188609740434,57.81590451366297,41.036387245924686,2.0
37.90670961759384,29.650421315710734,34.656419254534086,60.71803806694935,3.0
33.88188333604917,46.3279132446995,35.048696785418024,51.59855859011527,2.0
27.658866519061945,97.00797884729266,34.55323853767858,28.68385886569274,0.0
20.0,87.96384489828054,97.9532372485721,26.14178978308062,0.0
34.35097894984322,53.45255016858694,32.137750670882205,42.93343952314937,2.0
35.7629385285992,26.20622668690372,48.81791778574722,57.28095638103852,3.0
33.797702004814305,43.32526900687532,17.31684196724447,43.56828433696339,2.0
23.442872309770824,95.16927926081222,79.57184702944792,24.729023927052943,0.0
20.91090146345746,100.0,48.45544696047726,30.08549973145069,0.0
20.0,86.30152436863811,94.8852577448147,27.361160917676884,0.0
32.797258630495314,74.8094361298077,93.82523060060205,38.32700815406642,1.0
32.34160570999403,76.46110515915464,70.86006157973497,34.25481015486734,1.0
35.3818513096396,18.16894789320898,54.21453361010712,68.66116227519059,3.0
23.379966186996345,86.12036548592755,27.101918588056293,24.42753447596571,0.0
33.30364861845058,64.741335557787,48.56979956488679,34.64862636624473,1.0
32.007633932830124,66.69602966188043,54.16487601233054,38.32862560532139,1.0
30.907741634855117,82.38704212555454,49.38859137838997,40.3013818185854,1.0
31.09668353920523,69.40409528014266,42.072270406073514,33.34337457998327,1.0
38.72617269528787,38.65887382986715,63.8913915686819,60.49593501969982,3.0
37.73176489738966,23.657763536846026,63.82305357848685,66.91412655815438,3.0
33.52331755459442,44.733242697604126,44.066716740738926,42.0608912065631,2.0
24.102376822428152,91.83212810283673,60.432795460292525,24.180488052123373,0.0
30.99268048923883,64.1844772131478,22.79155599565634,34.3706098502447,1.0
26.20598513814913,82.45112668330316,37.64999801177089,29.674419218365134,0.0
30.22993773413677,65.7037813670083,78.53127972627966,37.43352761408586,1.0
29.547272713557586,85.67860866497624,91.52564421735822,26.11079344169721,0.0
40.0,35.28669494241652,55.110984716733284,57.33512759717892,3.0
34.33853051742811,29.56952094409795,49.9403758798755,56.0412153265619,3.0
32.122868707517206,44.818988998145656,38.54419345728944,39.45973798533547,2.0
31.645799275291598,73.27095134893942,48.13558072398703,32.40863012336828,1.0
30.97899275092078,86.54049201886092,64.16266639861338,28.37719138296158,0.0
32.09373023633416,69.71181270833739,88.85562248955216,41.677811658662975,1.0
37.84165902211707,77.68094076295614,95.73928356073347,40.050267864380885,1.0
22.915810399511656,80.87784219544363,32.678531974006475,25.15000567008792,0.0
33.96706513825665,41.70751219963121,37.262356957089004,35.812571434072666,2.0
36.407687078575016,24.30319090884795,54.94546430776156,47.984926328055465,3.0
33.19367095587388,44.197030110271015,33.62134849860564,48.457845752325426,2.0
30.273979754582626,67.2871405621958,29.952189074867515,42.657954843679626,1.0
32.30269373529225,53.0745587726073,8.75351995538394,44.61891752618672,2.0
30.389600617039566,80.59074425349273,52.725703122449154,24.49132626744664,0.0
23.244929770070783,85.29613244863441,35.76875270899247,22.436833779162477,0.0
25.95731862515896,86.50292535886962,64.22043332021008,22.61097511952374,0.0
35.46778319858939,31.48503808681058,55.48998580396109,55.6760789658713,3.0
39.10466510312135,31.59870326442288,53.952028105066304,60.27591091576556,3.0
25.480250831233192,86.47053763967696,84.97808342036677,23.859008706562836,0.0
36.27187035649903,31.092852069394972,26.926210013368486,55.761749057331066,3.0
38.96312444962308,37.2858219837364,20.6560307529027,53.805750542363995,3.0
34.402402215128426,31.257924433406643,64.48921135956921,52.59503836338607,3.0
27.35289765810646,89.8809877390718,47.9264549288228,24.363145371770656,0.0
27.415304733828012,84.75997859594273,69.22971564427681,20.0,0.0
28.368997845288224,93.53734142993883,19.7694708729968,20.0,0.0
30.4718294870086,73.64707619561958,94.4031879191417,34.52420426196217,1.0
32.402690485398814,66.4679325715183,75.72941780994641,32.61979129033627,1.0
33.43627492767195,60.8775250915299,76.14831307899341,33.41011341285348,1.0
20.915838873960823,98.03330129432979,71.377675990582,31.51538829589305,0.0
36.282427208416905,29.57927181846516,29.636194749707307,56.48692801207592,3.0
33.38504607346595,55.08228107518317,28.70227956301873,45.886456267614506,2.0
39.488029141033586,24.43296275257037,27.138416986380136,58.70485435491265,3.0
25.411194468241874,88.6226255853029,87.93828883178757,28.146658542739054,0.0
23.857032448905777,81.39128454717246,40.935541875103425,27.257967212628586,0.0
38.27781298608749,32.09989335714095,30.24777225728299,64.1016335335094,3.0
33.58481690196914,55.81610872838222,53.12037352203548,39.27754984530358,2.0
32.29266979154763,78.40173282887893,94.34017915682472,32.40344049084766,1.0
32.779995499426455,50.78961910025769,82.85078398352493,38.89348766673802,2.0
23.965978807870588,85.00158292904226,76.9014241034835,31.515517013186187,0.0
35.16811827848181,50.66392610368074,73.62849884253404,52.18748583347604,3.0
22.735641045826558,78.40697718691882,0.34902468367323713,40.81316932280703,2.0
34.24911627895354,46.16533666313009,70.5328426906485,52.97208067647801,3.0
25.14581477181339,90.22914834217048,75.33342189588244,22.220087087944997,0.0
36.43765763033638,23.74888327475963,54.1306933735985,47.74405851978064,2.0
32.83050453221054,64.69799568961879,24.66802522388002,41.03975640689959,1.0
31.02885896702142,79.0463278998767,51.51886827649202,35.77758725573019,1.0
30.529933634005033,70.41645362912816,46.166004614679935,39.88986721105016,1.0
35.87826292057522,58.64335077950611,51.60065812049085,39.23247520588997,2.0
36.51493754547131,25.956894374982877,53.31642429860315,48.63865819949912,3.0
30.751863763144307,69.49957815065437,53.76359785053454,31.7148600564278,1.0
35.8728799563757,53.14742957719419,58.58741450988107,30.335469267415537,2.0
28.07624681967048,100.0,44.915532338440066,22.532401005430202,0.0
26.03010584095076,84.26115420436709,70.68527011568807,27.19251641362979,0.0
20.0,92.86089042893124,25.24442524364698,25.888302526377792,0.0
30.81666901008365,61.61491657093811,73.5664468412021,39.7204303025412,1.0
32.94683363688583,58.5557221975179,8.361094711910376,39.46870971657449,1.0
30.086525655669885,61.59771333986822,57.3422860638251,38.387893550106575,1.0
28.8022166426233,86.6452602331409,71.38861068888323,23.295329268227537,0.0
39.21003495982559,29.23248326931776,6.349424399314687,50.92428914619423,3.0
36.33044951791786,62.7550081828642,14.079037100638656,33.31904116230638,1.0
32.29375399093476,78.87908278090248,97.1742584916498,42.42381074717548,1.0
31.45873934579212,65.43801300676562,56.374569909076705,34.28284843010808,1.0
38.36577523988495,17.500128805335272,34.8787615645936,64.39876018187968,3.0
36.180850556276866,61.93661772938075,75.04310582446287,51.67558781757818,2.0
37.18603268144522,25.207473229337083,75.11306686125936,55.683331451986355,3.0
33.398488243892736,48.78296816246645,55.530622559068476,40.088030211973475,2.0
35.568819504844775,49.78070394773715,14.763202387363458,48.78947823148637,2.0
27.88525441150245,91.54836747671237,85.7570407911628,28.50705233733241,0.0
36.33810160085516,27.228446990279352,51.6910371767343,63.127324746586766,3.0
26.210571446398795,84.61728962976764,56.91877427899604,27.345554859480252,0.0
34.0318299266654,49.04259888637897,14.499774338991376,49.95710796817971,2.0
33.44978272683842,17.823530974388774,52.534885586429056,49.703317799228124,3.0
27.773690748986205,89.93077756522801,64.94040927152899,31.56062287726492,0.0
33.53014589454374,61.275630706102554,72.67793128806163,35.9436364035867,1.0
36.76282569935061,25.48557000685838,89.70512150356045,54.65271037224657,3.0
34.04200012123142,35.90063401766464,29.40760408287432,54.50618987917258,3.0
32.220005564924676,74.35500910375698,72.36657197209786,33.53431939926972,1.0
37.053673896475395,37.864483090065676,15.567961759364803,59.34567243034591,3.0
25.586457462987973,13.29459393371604,87.13094534055118,42.243190400980566,2.0
20.0,92.72374879810727,44.61265523273774,20.0,0.0
31.475717492305286,71.00221994835843,65.24121956126999,30.10764004256911,1.0
24.009314360557205,90.47201864066034,54.78173167489305,24.89723593603029,0.0
21.268899152009226,80.06874540719511,43.160877336170245,30.407170234787777,0.0
33.00995815991089,61.22321501147948,43.27671355472662,39.62443927870492,1.0
36.60391664174316,21.063120412861622,65.39879848102542,57.57045937595966,3.0
21.68585585907189,96.13200062540821,73.83155190032538,31.369957189473247,0.0
25.734741346748024,89.00199576955961,28.245898917935435,26.712104117805715,0.0
20.7246800517704,88.38400224043609,36.27829047528465,21.94904385857432,0.0
20.006807421928343,84.09351320355465,31.96865043879567,26.94397987361252,0.0
29.172624251826132,92.7623960907796,35.341580402919305,26.217704116107488,0.0
23.165357130453252,87.26812580235388,44.58489025992728,30.54468996189305,0.0
36.56128969981525,25.66548704966257,65.76309360330626,70.0,3.0
31.257235477972216,85.89970750378549,65.0012258110834,32.457694423210825,0.0
32.66031298777265,49.98211476011853,66.4725810047209,50.43107614952265,2.0
36.54937132325135,59.387281729470836,63.8420723397926,42.005007073680204,2.0
